update,loss
1,0.2347118854522705
2,0.21010622382164001
3,0.18731455504894257
4,0.16632574796676636
5,0.14711922407150269
6,0.12966232001781464
7,0.11391253769397736
8,0.09981858730316162
9,0.08731703460216522
10,0.0763375535607338
11,0.06680046766996384
12,0.058618828654289246
13,0.05169899761676788
14,0.04594235122203827
15,0.04124566540122032
16,0.037503231316804886
17,0.03460729867219925
18,0.03245050087571144
19,0.030926411971449852
20,0.02993190847337246
21,0.029368096962571144
22,0.02914223074913025
23,0.02916894108057022
24,0.029371559619903564
25,0.029682837426662445
26,0.030045771971344948
27,0.030413635075092316
28,0.03074970282614231
29,0.03102691099047661
30,0.03122680075466633
31,0.03133862093091011
32,0.03135828673839569
33,0.03128710389137268
34,0.031130647286772728
35,0.030897831544280052
36,0.030599702149629593
37,0.030248671770095825
38,0.029857773333787918
39,0.029439901933073997
40,0.029007315635681152
41,0.028571326285600662
42,0.02814183384180069
43,0.02772718481719494
44,0.027334125712513924
45,0.026967596262693405
46,0.026631074026226997
47,0.026326321065425873
48,0.026053769513964653
49,0.025812698528170586
50,0.025601303204894066
51,0.02541695348918438
52,0.025256605818867683
53,0.025116611272096634
54,0.024993443861603737
55,0.02488337643444538
56,0.02478296123445034
57,0.0246889591217041
58,0.024598397314548492
59,0.024509018287062645
60,0.02441873587667942
61,0.024326104670763016
62,0.02423001080751419
63,0.024129843339323997
64,0.024025332182645798
65,0.023916510865092278
66,0.02380366250872612
67,0.02368725650012493
68,0.023567920550704002
69,0.02344639226794243
70,0.02332324907183647
71,0.023199288174510002
72,0.02307509258389473
73,0.022951291874051094
74,0.022828226909041405
75,0.022706391289830208
76,0.02258598990738392
77,0.02246723137795925
78,0.022350067272782326
79,0.022234579548239708
80,0.022120706737041473
81,0.02200823277235031
82,0.021897094324231148
83,0.021787099540233612
84,0.021678028628230095
85,0.02156970091164112
86,0.02146196737885475
87,0.02135457657277584
88,0.02124752849340439
89,0.021140625700354576
90,0.02103378437459469
91,0.02092701941728592
92,0.02082027681171894
93,0.020713478326797485
94,0.020606709644198418
95,0.020499954000115395
96,0.020393267273902893
97,0.0202866829931736
98,0.020180219784379005
99,0.020073985680937767
100,0.019967932254076004
101,0.019862167537212372
102,0.01975674368441105
103,0.019651591777801514
104,0.01954677887260914
105,0.01944233849644661
106,0.019338306039571762
107,0.019234633073210716
108,0.01913134753704071
109,0.01902836747467518
110,0.01892584189772606
111,0.018823634833097458
112,0.018721796572208405
113,0.018620308488607407
114,0.018519103527069092
115,0.018418269231915474
116,0.018317775800824165
117,0.01821756735444069
118,0.018117697909474373
119,0.018018139526247978
120,0.017918890342116356
121,0.017819948494434357
122,0.017721375450491905
123,0.01762305572628975
124,0.017525097355246544
125,0.017427481710910797
126,0.017330201342701912
127,0.017233239486813545
128,0.01713665761053562
129,0.017040403559803963
130,0.016944520175457
131,0.01684897020459175
132,0.016753830015659332
133,0.016659019514918327
134,0.01656457595527172
135,0.016470488160848618
136,0.016376739367842674
137,0.016283394768834114
138,0.016190428286790848
139,0.01609780266880989
140,0.016005607321858406
141,0.015913721174001694
142,0.015822259709239006
143,0.01573112979531288
144,0.015640364959836006
145,0.01555000152438879
146,0.01545999851077795
147,0.015370413661003113
148,0.01528115663677454
149,0.015192286111414433
150,0.015103778801858425
151,0.015015685930848122
152,0.014927959069609642
153,0.014840574003756046
154,0.014753642491996288
155,0.01466703973710537
156,0.0145808020606637
157,0.014494989067316055
158,0.01440955139696598
159,0.01432445552200079
160,0.014239782467484474
161,0.014155508019030094
162,0.014071551151573658
163,0.013988029211759567
164,0.01390483882278204
165,0.013822082430124283
166,0.013739666901528835
167,0.013657643459737301
168,0.013576003722846508
169,0.013494735583662987
170,0.013413879089057446
171,0.01333337090909481
172,0.01325326506048441
173,0.013173523359000683
174,0.013094130903482437
175,0.013015160337090492
176,0.012936573475599289
177,0.012858349829912186
178,0.01278048474341631
179,0.012702983804047108
180,0.012625901959836483
181,0.012549170292913914
182,0.01247283723205328
183,0.01239682361483574
184,0.012321230955421925
185,0.01224598940461874
186,0.012171127833425999
187,0.012096643447875977
188,0.012022528797388077
189,0.011948767118155956
190,0.01187538169324398
191,0.01180240884423256
192,0.011729737743735313
193,0.01165743451565504
194,0.01158553920686245
195,0.01151395682245493
196,0.011442795395851135
197,0.011371990665793419
198,0.011301501654088497
199,0.011231401935219765
200,0.011161696165800095
201,0.011092283762991428
202,0.011023269034922123
203,0.010954604484140873
204,0.010886305943131447
205,0.010818324983119965
206,0.010750731453299522
207,0.010683509521186352
208,0.010616614483296871
209,0.010550095699727535
210,0.010483916848897934
211,0.010418073274195194
212,0.010352584533393383
213,0.010287429206073284
214,0.010222629643976688
215,0.01015816256403923
216,0.01009408850222826
217,0.010030321776866913
218,0.009966889396309853
219,0.009903802536427975
220,0.009841065853834152
221,0.009778648614883423
222,0.009716583415865898
223,0.009654848836362362
224,0.009593469090759754
225,0.00953240878880024
226,0.009471643716096878
227,0.009411274455487728
228,0.009351186454296112
229,0.009291469119489193
230,0.009232066571712494
231,0.009172975085675716
232,0.009114199317991734
233,0.009055773727595806
234,0.008997652679681778
235,0.0089398343116045
236,0.008882399648427963
237,0.008825249969959259
238,0.008768432773649693
239,0.008711908012628555
240,0.008655708283185959
241,0.008599811233580112
242,0.008544255048036575
243,0.008488974533975124
244,0.008434046991169453
245,0.00837939977645874
246,0.008325048722326756
247,0.00827103666961193
248,0.008217325434088707
249,0.008163928054273129
250,0.008110787719488144
251,0.008057989180088043
252,0.008005485869944096
253,0.007953270338475704
254,0.007901364006102085
255,0.00784974917769432
256,0.007798442151397467
257,0.007747402414679527
258,0.0076966676861047745
259,0.0076462519355118275
260,0.007596105337142944
261,0.007546259555965662
262,0.007496670354157686
263,0.007447397336363792
264,0.007398392539471388
265,0.007349684834480286
266,0.00730127701535821
267,0.007253133226186037
268,0.00720523577183485
269,0.007157662883400917
270,0.007110365200787783
271,0.007063343655318022
272,0.007016569841653109
273,0.0069700926542282104
274,0.006923896260559559
275,0.006877940613776445
276,0.0068322899751365185
277,0.0067869010381400585
278,0.006741776596754789
279,0.006696917582303286
280,0.006652316078543663
281,0.006607987452298403
282,0.006563914008438587
283,0.006520119030028582
284,0.0064765689894557
285,0.0064332992769777775
286,0.006390261463820934
287,0.006347499322146177
288,0.006304982118308544
289,0.006262720096856356
290,0.006220717914402485
291,0.006178968120366335
292,0.006137470714747906
293,0.006096219643950462
294,0.006055211648344994
295,0.006014450918883085
296,0.005973954685032368
297,0.005933689884841442
298,0.005893675610423088
299,0.0058538843877613544
300,0.005814361851662397
301,0.005775053519755602
302,0.0057360101491212845
303,0.005697186570614576
304,0.0056585888378322124
305,0.005620237439870834
306,0.0055821482092142105
307,0.005544264335185289
308,0.005506604909896851
309,0.005469195079058409
310,0.0054320115596055984
311,0.00539503525942564
312,0.005358314607292414
313,0.005321798846125603
314,0.005285521969199181
315,0.005249469541013241
316,0.005213621538132429
317,0.005178000312298536
318,0.005142612382769585
319,0.005107450764626265
320,0.00507248193025589
321,0.005037763621658087
322,0.0050032357685267925
323,0.0049689169973134995
324,0.004934824071824551
325,0.004900943487882614
326,0.004867264535278082
327,0.004833807237446308
328,0.004800551105290651
329,0.004767509642988443
330,0.004734683781862259
331,0.004702053964138031
332,0.004669628106057644
333,0.004637397360056639
334,0.004605380818247795
335,0.004573544953018427
336,0.004541932605206966
337,0.004510515835136175
338,0.00447929697111249
339,0.004448289982974529
340,0.004417452495545149
341,0.004386806394904852
342,0.004356385674327612
343,0.004326127003878355
344,0.004296076484024525
345,0.004266209434717894
346,0.004236526787281036
347,0.0042070490308105946
348,0.004177749622613192
349,0.004148637875914574
350,0.0041197179816663265
351,0.0040909782983362675
352,0.0040624248795211315
353,0.004034040030092001
354,0.004005855415016413
355,0.0039778477512300014
356,0.003949994221329689
357,0.003922352101653814
358,0.003894868539646268
359,0.003867578459903598
360,0.0038404474034905434
361,0.003813487244769931
362,0.0037867361679673195
363,0.003760115010663867
364,0.0037336929235607386
365,0.003707415657117963
366,0.0036813297774642706
367,0.003655419684946537
368,0.0036296641919761896
369,0.0036040632985532284
370,0.0035786544904112816
371,0.003553394926711917
372,0.003528301604092121
373,0.0035033738240599632
374,0.003478610422462225
375,0.003454009536653757
376,0.003429555334150791
