update,theta
1,0.3009999990463257
2,0.3019998073577881
3,0.3029993176460266
4,0.3039984107017517
5,0.30499696731567383
6,0.3059948682785034
7,0.3069919943809509
8,0.3079882562160492
9,0.3089835047721863
10,0.309977650642395
11,0.31097060441970825
12,0.3119622468948364
13,0.3129524886608124
14,0.31394121050834656
15,0.3149283230304718
16,0.31591373682022095
17,0.3168973922729492
18,0.31787917017936707
19,0.3188590109348297
20,0.3198368549346924
21,0.3208126127719879
22,0.32178619503974915
23,0.3227575719356537
24,0.32372668385505676
25,0.3246934413909912
26,0.32565781474113464
27,0.3266197443008423
28,0.32757920026779175
29,0.32853612303733826
30,0.3294904828071594
31,0.33044224977493286
32,0.3313913941383362
33,0.3323378562927246
34,0.33328163623809814
35,0.3342227041721344
36,0.335161030292511
37,0.3360966145992279
38,0.33702942728996277
39,0.3379594385623932
40,0.33888664841651917
41,0.3398110568523407
42,0.3407326340675354
43,0.34165140986442566
44,0.3425673544406891
45,0.3434804379940033
46,0.3443906903266907
47,0.3452981114387512
48,0.34620270133018494
49,0.3471044600009918
50,0.3480033874511719
51,0.3488994836807251
52,0.3497927784919739
53,0.3506832420825958
54,0.35157090425491333
55,0.3524557650089264
56,0.353337824344635
57,0.3542171120643616
58,0.3550936281681061
59,0.35596737265586853
60,0.3568383753299713
61,0.35770663619041443
62,0.3585721552371979
63,0.35943496227264404
64,0.36029505729675293
65,0.36115244030952454
66,0.36200714111328125
67,0.36285918951034546
68,0.3637085556983948
69,0.364555299282074
70,0.36539939045906067
71,0.36624088883399963
72,0.3670797646045685
73,0.3679160475730896
74,0.3687497675418854
75,0.3695809245109558
76,0.3704095184803009
77,0.37123557925224304
78,0.3720591068267822
79,0.37288013100624084
80,0.3736986517906189
81,0.37451469898223877
82,0.37532827258110046
83,0.376139372587204
84,0.3769480288028717
85,0.377754271030426
86,0.37855809926986694
87,0.37935951352119446
88,0.38015854358673096
89,0.38095518946647644
90,0.3817494809627533
91,0.3825414180755615
92,0.3833310008049011
93,0.3841182589530945
94,0.384903222322464
95,0.38568589091300964
96,0.38646626472473145
97,0.3872443437576294
98,0.38802018761634827
99,0.3887937664985657
100,0.389565110206604
101,0.39033421874046326
102,0.3911011219024658
103,0.3918658196926117
104,0.39262834191322327
105,0.39338865876197815
106,0.3941468298435211
107,0.3949028253555298
108,0.39565667510032654
109,0.39640840888023376
110,0.39715802669525146
111,0.39790552854537964
112,0.3986509442329407
113,0.3993942439556122
114,0.40013548731803894
115,0.40087464451789856
116,0.4016117453575134
117,0.40234681963920593
118,0.4030798673629761
119,0.40381088852882385
120,0.40453988313674927
121,0.4052668809890747
122,0.40599188208580017
123,0.40671491622924805
124,0.40743595361709595
125,0.40815505385398865
126,0.40887218713760376
127,0.40958738327026367
128,0.4103006422519684
129,0.4110119938850403
130,0.411721408367157
131,0.41242891550064087
132,0.41313454508781433
133,0.41383829712867737
134,0.41454017162323
135,0.41524016857147217
136,0.4159383177757263
137,0.41663461923599243
138,0.4173290729522705
139,0.41802170872688293
140,0.4187125265598297
141,0.41940152645111084
142,0.4200887084007263
143,0.42077410221099854
144,0.4214577078819275
145,0.4221395254135132
146,0.422819584608078
147,0.42349788546562195
148,0.424174427986145
149,0.4248492419719696
150,0.4255222976207733
151,0.42619362473487854
152,0.42686325311660767
153,0.4275311529636383
154,0.42819735407829285
155,0.4288618564605713
156,0.429524689912796
157,0.43018582463264465
158,0.4308452904224396
159,0.4315030872821808
160,0.4321592450141907
161,0.43281373381614685
162,0.4334665834903717
163,0.43411779403686523
164,0.43476739525794983
165,0.4354153573513031
166,0.43606171011924744
167,0.4367064833641052
168,0.4373496472835541
169,0.4379912316799164
170,0.43863120675086975
171,0.4392696022987366
172,0.43990644812583923
173,0.44054171442985535
174,0.4411754310131073
175,0.4418075978755951
176,0.4424382448196411
177,0.443067342042923
178,0.44369491934776306
179,0.4443209767341614
180,0.4449455142021179
181,0.4455685317516327
182,0.4461900591850281
183,0.4468100965023041
184,0.4474286437034607
185,0.4480457007884979
186,0.44866126775741577
187,0.4492753744125366
188,0.4498880207538605
189,0.45049920678138733
190,0.4511089324951172
